restaurant_name,area,parking_id,hour,day_of_week,is_weekend,occupied_slots,total_slots,occupancy_rate,is_peak_hour
Windmills Craftworks,brookefield,86,13,3,0,124,199,0.623115578,0
Fatso's,brigade road,2454,5,4,0,71,161,0.440993789,0
Fabindia Cafe,"byresandra,tavarekere,madiwala",372,11,1,0,22,233,0.094420601,0
Namaste Kitchen,"byresandra,tavarekere,madiwala",2459,10,4,0,127,256,0.49609375,1
Spice Corner,kalyan nagar,2174,13,6,1,188,293,0.641638225,0
Subway,bellandur,273,8,4,0,39,215,0.181395349,1
Hungry Lee,koramangala 5th block,687,14,0,0,189,255,0.741176471,0
The Oriental Spice - Ashraya Hotel,residency road,2193,8,0,0,26,264,0.098484848,1
Bearfoot Cafe,"byresandra,tavarekere,madiwala",310,21,5,1,74,230,0.32173913,0
TGI Fridays,bannerghatta road,1435,18,3,0,101,137,0.737226277,1
Expresso Restaurant,brookefield,2745,8,2,0,97,138,0.702898551,1
Bang - The Ritz-Carlton,lavelle road,1679,22,6,1,97,108,0.898148148,0
Maddy's Cafe,frazer town,2222,13,1,0,41,271,0.151291513,0
Malabar Xpress,koramangala 6th block,1121,16,4,0,119,148,0.804054054,0
Shawarma Hunt,hsr,1055,22,1,0,48,265,0.181132075,0
Hunan Express,whitefield,877,12,1,0,171,211,0.81042654,0
Mathsya Darshini,brigade road,1048,15,1,0,86,252,0.341269841,0
Pandit Ji Sweets & Namkeen,electronic city,314,1,6,1,179,237,0.755274262,0
Udupi South Saviruchi,new bel road,1766,13,3,0,115,274,0.419708029,0
Sandwich Hub,"byresandra,tavarekere,madiwala",21,20,0,0,189,236,0.800847458,1
Mummy's Kitchen,indiranagar,1994,1,6,1,195,196,0.994897959,0
NalaMaharaja,new bel road,845,4,0,0,29,148,0.195945946,0
Dining Hut,banashankari,259,18,3,0,65,259,0.250965251,1
In Time Cane Juice,banashankari,1208,7,1,0,36,231,0.155844156,1
Sri Guru Vaibhava Veg,kalyan nagar,78,5,3,0,174,223,0.780269058,0
Radha Rani,brookefield,1237,12,2,0,21,261,0.08045977,0
Punjab Da Zaika,marathahalli,2330,1,6,1,24,244,0.098360656,0
Sagar Grand,bannerghatta road,2434,9,3,0,72,132,0.545454545,1
